SPCD,COMMON_NAME,GENUS,MYCO_ASSO,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_SRS,SFTWD_HRDWD,EAST,WEST,CARIBBEAN,ref
321,Rocky Mountain maple,Acer,AM,glabrum,,,ACGL,48,,,4,38,159,X,,X,H,,W,,10.1111/nph.12221
322,bigtooth maple,Acer,AM,grandidentatum,,,ACGR3,48,,,4,38,159,,,X,H,,W,,10.1111/nph.12221
323,chalk maple,Acer,AM,leucoderme,,,ACLE,31,,,4,36,97,,,X,H,E,,,10.1111/nph.12221
330,"buckeye, horsechestnut spp.",Aesculus,AM,spp.,,,AESCU,41,,,3,27,221,X,X,X,H,E,W,,10.1111/nph.12221
331,Ohio buckeye,Aesculus,AM,glabra,,,AEGL,41,,,3,27,101,X,X,X,H,E,,,10.1111/nph.12221
332,yellow buckeye,Aesculus,AM,flava,,,AEFL,43,,,3,27,101,X,X,X,H,E,,,10.1111/nph.12221
334,Texas buckeye,Aesculus,AM,glabra,arguta,,AEGLA,41,,,3,27,101,X,,X,H,E,,,10.1111/nph.12221
336,red buckeye,Aesculus,AM,pavia,,,AEPA,43,,,3,27,101,X,X,X,H,E,,,10.1111/nph.12221
337,painted buckeye,Aesculus,AM,sylvatica,,,AESY,41,,,3,27,101,,,X,H,E,,,10.1111/nph.12221
341,ailanthus,Ailanthus,AM,altissima,,,AIAL,43,,,4,25,146,X,X,X,H,E,W,,10.1111/nph.12221
345,"mimosa, silktree",Albizia,AM,julibrissin,,,ALJU,43,,,3,36,146,X,X,X,H,E,W,,10.1111/nph.12221
356,serviceberry spp.,Amelanchier,AM,spp.,,,AMELA,43,,,4,37,221,X,X,X,H,E,W,,10.1111/nph.12221
357,common serviceberry,Amelanchier,AM,arborea,,,AMAR3,43,,,4,37,221,X,X,X,H,E,W,,10.1111/nph.12221
358,roundleaf serviceberry,Amelanchier,AM,sanguinea,,,AMSA,43,,,4,37,221,X,X,,H,E,W,,10.1111/nph.12221
367,pawpaw,Asimina,AM,triloba,,,ASTR,43,,,3,25,221,X,X,X,H,E,,,10.1111/nph.12221
381,"chittamwood, gum bumelia",Sideroxylon,AM,lanuginosum,,lanuginosum,SILAL3,43,,,4,25,151,X,,X,H,E,,,10.1111/nph.12221
450,catalpa spp.,Catalpa,AM,spp.,,,CATAL,42,54,,4,27,221,X,X,X,H,E,,C,10.1111/nph.12221
451,southern catalpa,Catalpa,AM,bignonioides,,,CABI8,43,,,4,27,221,X,X,X,H,E,,,10.1111/nph.12221
452,northern catalpa,Catalpa,AM,speciosa,,,CASP8,41,,,3,27,221,X,X,X,H,E,,,10.1111/nph.12221
460,hackberry spp.,Celtis,AM,spp.,,,CELTI,41,54,,3,36,115,X,X,X,H,E,W,C,10.1111/nph.12221
461,sugarberry,Celtis,AM,laevigata,,,CELA,41,,,3,36,100,X,X,X,H,E,W,,10.1111/nph.12221
462,hackberry,Celtis,AM,occidentalis,,,CEOC,41,,,3,36,115,X,X,X,H,E,W,,10.1111/nph.12221
463,netleaf hackberry,Celtis,AM,laevigata,reticulata,,CELAR,41,,,3,36,115,X,,X,H,E,W,,10.1111/nph.12221
471,eastern redbud,Cercis,AM,canadensis,,,CECA4,43,,,3,25,101,X,X,X,H,E,,,10.1111/nph.12221
475,curlleaf mountain-mahogany,Cercocarpus,AM,ledifolius,,,CELE3,48,,,4,38,156,,,X,H,,W,,10.1111/nph.12221
481,yellowwood,Cladrastis,AM,kentukea,,,CLKE,43,,,4,25,221,X,X,X,H,E,,,10.1111/nph.12221
490,dogwood spp.,Cornus,AM,spp.,,,CORNU,43,,,4,37,221,X,X,,H,E,W,,10.1111/nph.12221
491,flowering dogwood,Cornus,AM,florida,,,COFL2,42,,,4,25,101,X,X,X,H,E,,,10.1111/nph.12221
492,Pacific dogwood,Cornus,AM,nuttallii,,,CONU4,43,,,4,26,221,,,X,H,,W,,10.1111/nph.12221
520,persimmon spp.,Diospyros,AM,spp.,,,DIOSP,43,54,,4,29,93,X,X,X,H,E,,C,10.1111/nph.12221
521,common persimmon,Diospyros,AM,virginiana,,,DIVI5,42,,,4,29,93,X,X,X,H,E,,,10.1111/nph.12221
522,Texas persimmon,Diospyros,AM,texana,,,DITE3,43,,,4,29,93,,,X,H,E,,,10.1111/nph.12221
523,Anacua knockaway,Ehretia,AM,anacua,,,EHAN,48,,,3,36,209,,,X,H,E,,,10.1111/nph.12221
540,ash spp.,Fraxinus,AM,spp.,,,FRAXI,36,54,,3,33,221,X,X,X,H,E,W,C,10.1111/nph.12221
541,white ash,Fraxinus,AM,americana,,,FRAM2,36,,,4,33,103,X,X,X,H,E,,,10.1111/nph.12221
543,black ash,Fraxinus,AM,nigra,,,FRNI,36,,,3,33,104,X,X,X,H,E,,,10.1111/nph.12221
544,green ash,Fraxinus,AM,pennsylvanica,,,FRPE,36,,,4,36,105,X,X,X,H,E,,,10.1111/nph.12221
545,pumpkin ash,Fraxinus,AM,profunda,,,FRPR,36,,,3,33,221,X,X,X,H,E,,,10.1111/nph.12221
546,blue ash,Fraxinus,AM,quadrangulata,,,FRQU,36,,,4,33,221,X,X,X,H,E,,,10.1111/nph.12221
547,velvet ash,Fraxinus,AM,velutina,,,FRVE2,43,,,4,33,221,,,X,H,,W,,10.1111/nph.12221
548,Carolina ash,Fraxinus,AM,caroliniana,,,FRCA3,36,,,4,33,221,,,X,H,E,,,10.1111/nph.12221
549,Texas ash,Fraxinus,AM,texensis,,,FRTE,36,,,3,29,221,,,X,H,E,,,10.1111/nph.12221
555,loblolly-bay,Gordonia,AM,lasianthus,,,GOLA,41,,,3,25,127,,,X,H,E,,,10.1111/nph.12221
561,"ginkgo, maidenhair tree",Ginkgo,AM,biloba,,,GIBI2,43,,,3,37,146,X,X,X,H,E,W,,10.1111/nph.12221
571,Kentucky coffeetree,Gymnocladus,AM,dioicus,,,GYDI,42,,,4,25,101,X,X,X,H,E,,,10.1111/nph.12221
580,silverbell spp.,Halesia,AM,spp.,,,HALES,43,,,3,37,221,X,X,X,H,E,,,10.1111/nph.12221
581,Carolina silverbell,Halesia,AM,carolina,,,HACA3,41,,,3,37,221,,,X,H,E,,,10.1111/nph.12221
582,two-wing silverbell,Halesia,AM,diptera,,,HADI3,41,,,3,37,221,,,X,H,E,,,10.1111/nph.12221
583,little silverbell,Halesia,AM,parviflora,,,HAPA2,41,,,3,37,221,,,X,H,E,,,10.1111/nph.12221
591,American holly,Ilex,AM,opaca,,,ILOP,42,,,4,25,106,X,X,X,H,E,,,10.1111/nph.12221
600,walnut spp.,Juglans,AM,spp.,,,JUGLA,41,54,,4,30,221,X,X,X,H,E,W,C,10.1111/nph.12221
601,butternut,Juglans,AM,cinerea,,,JUCI,41,,,3,30,107,X,X,X,H,E,,,10.1111/nph.12221
602,black walnut,Juglans,AM,nigra,,,JUNI,40,,,4,30,108,X,X,X,H,E,W,,10.1111/nph.12221
605,Texas walnut,Juglans,AM,microcarpa,,,JUMI,41,,,4,30,221,X,,X,H,E,W,,10.1111/nph.12221
606,Arizona walnut,Juglans,AM,major,,,JUMA,43,,,4,37,221,,,X,H,,W,,10.1111/nph.12221
611,sweetgum,Liquidambar,AM,styraciflua,,,LIST2,34,,,3,31,109,X,X,X,H,E,W,,10.1111/nph.12221
621,yellow-poplar,Liriodendron,AM,tulipifera,,,LITU,39,,,3,33,110,X,X,X,H,E,,,10.1111/nph.12221
641,Osage-orange,Maclura,AM,pomifera,,,MAPO,43,,,4,29,101,X,X,X,H,E,,,10.1111/nph.12221
650,magnolia spp.,Magnolia,AM,spp.,,,MAGNO,41,54,,3,33,151,X,X,X,H,E,,C,10.1111/nph.12221
651,cucumbertree,Magnolia,AM,acuminata,,,MAAC,41,,,3,33,151,X,X,X,H,E,,,10.1111/nph.12221
652,southern magnolia,Magnolia,AM,grandiflora,,,MAGR4,41,,,3,33,151,,X,X,H,E,,,10.1111/nph.12221
653,sweetbay,Magnolia,AM,virginiana,,,MAVI2,43,,,3,25,111,,X,X,H,E,,,10.1111/nph.12221
654,bigleaf magnolia,Magnolia,AM,macrophylla,,,MAMA2,43,,,4,33,151,,X,X,H,E,,,10.1111/nph.12221
655,mountain or Fraser magnolia,Magnolia,AM,fraseri,,,MAFR,41,,,3,33,151,,X,X,H,E,,,10.1111/nph.12221
657,pyramid magnolia,Magnolia,AM,pyramidata,,,MAPY,41,,,3,33,151,,,X,H,E,,,10.1111/nph.12221
658,umbrella magnolia,Magnolia,AM,tripetala,,,MATR,41,,,3,33,151,X,X,X,H,E,,,10.1111/nph.12221
660,apple spp.,Malus,AM,spp.,,,MALUS,43,,,4,37,221,X,X,X,H,E,W,,10.1111/nph.12221
662,southern crab apple,Malus,AM,angustifolia,,,MAAN3,43,,,4,29,221,X,X,X,H,E,,,10.1111/nph.12221
663,sweet crab apple,Malus,AM,coronaria,,,MACO5,43,,,4,29,221,X,X,X,H,E,,,10.1111/nph.12221
664,prairie crab apple,Malus,AM,ioensis,,,MAIO,43,,,4,29,221,X,,X,H,E,,,10.1111/nph.12221
680,mulberry spp.,Morus,AM,spp.,,,MORUS,42,54,,4,25,101,X,X,X,H,E,,C,10.1111/nph.12221
681,white mulberry,Morus,AM,alba,,,MOAL,42,54,,4,25,101,X,X,X,H,E,,C,10.1111/nph.12221
682,red mulberry,Morus,AM,rubra,,,MORU2,42,,,4,25,101,X,X,X,H,E,,,10.1111/nph.12221
683,Texas mulberry,Morus,AM,microphylla,,,MOMI,42,,,4,25,101,,,X,H,E,W,,10.1111/nph.12221
684,black mulberry,Morus,AM,nigra,,,MONI,43,54,,4,25,101,,X,X,H,E,,C,10.1111/nph.12221
690,tupelo spp.,Nyssa,AM,spp.,,,NYSSA,35,,,3,31,221,X,X,X,H,E,,,10.1111/nph.12221
691,water tupelo,Nyssa,AM,aquatica,,,NYAQ2,35,,,3,31,112,X,,X,H,E,,,10.1111/nph.12221
692,Ogeechee tupelo,Nyssa,AM,ogeche,,,NYOG,43,,,4,31,151,,,X,H,E,,,10.1111/nph.12221
693,blackgum,Nyssa,AM,sylvatica,,,NYSY,35,,,3,31,113,X,X,X,H,E,,,10.1111/nph.12221
694,swamp tupelo,Nyssa,AM,biflora,,,NYBI,35,,,3,31,114,X,X,X,H,E,,,10.1111/nph.12221
720,bay spp.,Persea,AM,spp.,,,PERSE,43,54,,3,33,221,,X,X,H,E,W,C,10.1111/nph.12221
721,redbay,Persea,AM,borbonia,,,PEBO,41,,,3,33,127,,,X,H,E,,,10.1111/nph.12221
722,"water-elm, planertree",Planera,AM,aquatica,,,PLAQ,43,,,3,33,151,X,,X,H,E,,,10.1111/nph.12221
729,sycamore spp.,Platanus,AM,spp.,,,PLATA,41,,,3,36,221,X,X,X,H,E,W,,10.1111/nph.12221
731,American sycamore,Platanus,AM,occidentalis,,,PLOC,41,,,3,36,116,X,X,X,H,E,,,10.1111/nph.12221
732,Arizona sycamore,Platanus,AM,wrightii,,,PLWR2,41,,,3,36,221,,,X,H,,W,,10.1111/nph.12221
755,mesquite spp.,Prosopis,AM,spp.,,,PROSO,48,54,,4,38,157,,,X,H,E,W,C,10.1111/nph.12221
756,honey mesquite ,Prosopis,AM,glandulosa,,,PRGL2,48,,,4,38,157,,,X,H,E,W,,10.1111/nph.12221
757,velvet mesquite,Prosopis,AM,velutina,,,PRVE,48,,,4,38,157,,,X,H,E,W,,10.1111/nph.12221
