SPCD,COMMON_NAME,GENUS,MYCO_ASSO,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_SRS,SFTWD_HRDWD,EAST,WEST,CARIBBEAN,ref
995,tungoil tree,Vernicia,AM,fordii,,,VEFO,43,54,,4,37,146,,,X,H,E,,C,10.1111/nph.12221
996,smoketree,Cotinus,AM,obovatus,,,COOB2,43,,,4,37,221,X,,X,H,E,,,10.1111/nph.12221
997,Russian-olive,Elaeagnus,AM,angustifolia,,,ELAN,43,,,3,37,146,X,X,X,H,E,W,,10.1111/nph.12221
5491,Berlandier ash,Fraxinus,AM,berlandieriana,,,FRBE,36,,,3,33,221,,,X,H,E,,,10.1111/nph.12221
6001,blackbrush wattle,Acacia,AM,anegadensis,,,ACAN4,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6008,porknut,Acacia,AM,macracantha,,,ACMA,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6009,Acacia mangium,Acacia,AM,mangium,,,ACMA12,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6012,spineless wattle,Acacia,AM,muricata,,,ACMU,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6013,gum arabic tree,Acacia,AM,nilotica,,,ACNI2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6015,Acacia polyacantha,Acacia,AM,polyacantha,,,ACPO3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6018,poponax,Acacia,AM,tortuosa,,,ACTO,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6021,hollowheart,Acnistus,AM,arborescens,,,ACAR,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6023,grugru palm,Acrocomia,AM,media,,,ACME2,53,53,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6025,baobab,Adansonia,AM,digitata,,,ADDI3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6026,wild lime,Adelia,AM,ricinella,,,ADRI,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6028,red beadtree,Adenanthera,AM,pavonina,,,ADPA,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6032,Caribbean spiritweed,Aegiphila,AM,martinicensis,,,AEMA,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6036,kauri,Agathis,AM,australis,,,AGAU4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6037,Queensland kauri,Agathis,AM,robusta,,,AGRO6,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6053,Aiphanes minima,Aiphanes,AM,minima,,,AIMI,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6055,cream albizia,Albizia,AM,adinocephala,,,ALAD,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6056,naked albizia,Albizia,AM,carbonaria,,,ALCA8,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6059,woman's tongue,Albizia,AM,lebbeck,,,ALLE,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6060,tall albizia,Albizia,AM,procera,,,ALPR,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6064,achiotillo,Alchornea,AM,latifolia,,,ALLA,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6066,palo de gallina,Alchorneopsis,AM,floribunda,,,ALFL3,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6075,Indian walnut,Aleurites,AM,moluccana,,,ALMO2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6080,palo blanco,Allophylus,AM,crassinervis,,,ALCR9,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6082,palo de caja,Allophylus,AM,racemosus,,,ALRA,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6092,helecho gigante de la sierra,Alsophila,AM,bryophila,,,ALBR4,54,54,,3,37,987,,,X,H,,,C,10.1111/nph.12221
6093,Alsophila portoricensis,Alsophila,AM,portoricensis,,,ALPO7,54,54,,3,37,987,,,X,H,,,C,10.1111/nph.12221
6101,black calabash,Amphitecna,AM,latifolia,,,AMLA4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6103,balsam torchwood,Amyris,AM,balsamifera,,,AMBA2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6106,anacardium,Anacardium,AM,spp.,,,ANACA,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6107,cashew,Anacardium,AM,occidentale,,,ANOC,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6111,Anadenanthera peregrina,Anadenanthera,AM,peregrina,,,ANPE13,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6114,cabbagebark tree,Andira,AM,inermis,,,ANIN,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6120,canelillo,Aniba,AM,bracteata,,,ANBR7,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6124,Annona cherimola,Annona,AM,cherimola,,,ANCH9,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6125,ilama,Annona,AM,diversifolia,,,ANDI11,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6127,mountain soursop,Annona,AM,montana,,,ANMO,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6128,soursop,Annona,AM,muricata,,,ANMU2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6129,custard apple,Annona,AM,reticulata,,,ANRE,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6131,sugar apple,Annona,AM,squamosa,,,ANSQ,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6146,placa chiquitu,Antirhea,AM,acutata,,,ANAC4,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6147,pegwood,Antirhea,AM,coriacea,,,ANCO3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6149,palo iloron,Antirhea,AM,lucida,,,ANLU3,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6150,quina roja,Antirhea,AM,obtusifolia,,,ANOB2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6151,Puerto Rico quina,Antirhea,AM,portoricensis,,,ANPO3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6152,Sintenis' quina,Antirhea,AM,sintenisii,,,ANSI,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6154,parana pine,Araucaria,AM,angustifolia,,,ARAN15,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6157,Norfolk Island pine,Araucaria,AM,heterophylla,,,ARHE12,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6162,ausubon,Ardisia,AM,glauciflora,,,ARGL11,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6163,mountain marlberry,Ardisia,AM,luquillensis,,,ARLU3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6164,Guadeloupe marlberry,Ardisia,AM,obovata,,,AROB2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6165,China-shrub,Ardisia,AM,solanacea,,,ARSO,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6171,breadfruit,Artocarpus,AM,altilis,,,ARAL7,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6173,Artocarpus heterophyllus,Artocarpus,AM,heterophyllus,,,ARHE2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6198,carambola,Averrhoa,AM,carambola,,,AVCA,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6206,neem,Azadirachta,AM,indica,,,AZIN2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6216,common bamboo,Bambusa,AM,vulgaris,,,BAVU2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6220,sea putat,Barringtonia,AM,asiatica,,,BAAS3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6224,Bastardiopsis eggersii,Bastardiopsis,AM,eggersii,,,BAEG6,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6226,Napoleon's plume,Bauhinia,AM,monandra,,,BAMO2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6227,petite flamboyant bauhinia,Bauhinia,AM,multinervia,,,BAMU3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6228,railroadfence,Bauhinia,AM,pauletia,,,BAPA3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6229,butterfly tree,Bauhinia,AM,purpurea,,,BAPU,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6231,St. Thomas tree,Bauhinia,AM,tomentosa,,,BATO,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6232,mountain ebony,Bauhinia,AM,variegata,,,BAVA,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6233,slugwood,Beilschmiedia,AM,pendula,,,BEPE,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6235,Caribbean myrtlecroton,Bernardia,AM,dichotoma,,,BEDI2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6238,lipsticktree,Bixa,AM,orellana,,,BIOR,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6240,akee,Blighia,AM,sapida,,,BLSA2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6247,parrotweed,Bocconia,AM,frutescens,,,BOFR2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6251,white alling,Bontia,AM,daphnoides,,,BODA,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6253,Bourreria radula,Bourreria,AM,radula,,,BORA2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6255,bodywood,Bourreria,AM,succulenta,,,BOSU2,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6257,roble de guayo,Bourreria,AM,virgata,,,BOVI2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6272,American brunfelsia,Brunfelsia,AM,americana,,,BRAM4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6273,Serpentine Hill raintree,Brunfelsia,AM,densifolia,,,BRDE4,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6274,vega blanca,Brunfelsia,AM,lactea,,,BRLA5,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6275,Puerto Rico raintree,Brunfelsia,AM,portoricensis,,,BRPO3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6283,fourleaf buchenavia,Buchenavia,AM,tetraphylla,,,BUTE4,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6284,gregorywood,Bucida,AM,buceras,,,BUBU,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6303,Buxus laevigata,Buxus,AM,laevigata,,,BULA10,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6304,Puerto Rico box,Buxus,AM,portoricensis,,,BUPO,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6306,Vahl's box,Buxus,AM,vahlii,,,BUVA,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6316,nicker,Caesalpinia,AM,spp.,,,CAESA,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6317,divi divi,Caesalpinia,AM,coriaria,,,CACO28,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6319,pride-of-Barbados,Caesalpinia,AM,pulcherrima,,,CAPU13,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6320,sappanwood,Caesalpinia,AM,sappan,,,CASA28,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6325,Surinamese stickpea,Calliandra,AM,surinamensis,,,CASU33,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6326,caparosa,Callicarpa,AM,ampla,,,CAAM14,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6328,crimson bottlebrush,Callistemon,AM,citrinus,,,CACI15,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6331,Callitris columellaris,Callitris,AM,columellaris,,,CACO2,52,52,,2,20,980,,,X,S,,,C,10.1111/nph.12221
6337,Caloncoba echinata,Caloncoba,AM,echinata,,,CAEC2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6338,Antilles calophyllum,Calophyllum,AM,antillanum,,,CAAN22,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6341,Alexandrian laurel,Calophyllum,AM,inophyllum,,,CAIN4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6346,roostertree,Calotropis,AM,procera,,,CAPR,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6351,Kiaerskov's lidflower,Calyptranthes,AM,kiaerskovii,,,CAKI,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6352,limoncillo,Calyptranthes,AM,krugii,,,CAKR,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6353,Luquillo forest lidflower,Calyptranthes,AM,luquillensis,,,CALU12,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6354,pale lidflower,Calyptranthes,AM,pallens,,,CAPA8,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6355,Puerto Rico lidflower,Calyptranthes,AM,portoricensis,,,CAPO9,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6356,limoncillo de monte,Calyptranthes,AM,sintenisii,,,CASI8,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6358,Thomas' lidflower,Calyptranthes,AM,thomasiana,,,CATH3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6359,myrtle of the river,Calyptranthes,AM,zuzygium,,,CAZU,53,53,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6360,Puerto Rico manac,Calyptronoma,AM,rivalis,,,CARI3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6370,ilang-ilang,Cananga,AM,odorata,,,CAOD,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6383,burro blanco,Capparis,AM,amplissima,,,CAAM13,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6384,caper,Capparis,AM,baducca,,,CABA2,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6386,Jamaican caper,Capparis,AM,cynophallophora,,,CACY,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6387,falseteeth,Capparis,AM,flexuosa,,,CAFL2,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6389,broadleaf caper,Capparis,AM,hastata,,,CAHA9,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6390,linguam,Capparis,AM,indica,,,CAIN5,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6393,crabwood,Carapa,AM,guianensis,,,CAGU6,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6395,papaya,Carica,AM,papaya,,,CAPA23,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6402,rabo de ranton,Casearia,AM,aculeata,,,CAAC3,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6403,gia verde,Casearia,AM,arborea,,,CAAR8,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6406,wild honeytree,Casearia,AM,decandra,,,CADE11,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6407,Guyanese wild coffee,Casearia,AM,guianensis,,,CAGU2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6410,crackopen,Casearia,AM,sylvestris,,,CASY2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6415,golden shower,Cassia,AM,fistula,,,CAFI3,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6417,pink shower,Cassia,AM,grandis,,,CAGR11,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6418,apple blossom,Cassia,AM,javanica,,,CAJA3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6425,marbletree,Cassine,AM,xylocarpa,,,CAXY,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6427,goatwood,Cassipourea,AM,guianensis,,,CAGU3,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6429,goatbush,Castela,AM,erecta,,,CAER3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6430,Panama rubbertree,Castilla,AM,elastica,,,CAEL5,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6439,Haitian catalpa,Catalpa,AM,longissima,,,CALO8,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6443,pumpwood,Cecropia,AM,schreberiana,,,CESC9,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6445,Spanish cedar,Cedrela,AM,odorata,,,CEOD,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6447,pochote,Ceiba,AM,acuminata,,,CEAC4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6448,pochote,Ceiba,AM,aesculifolia,,,CEAE2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6449,kapoktree,Ceiba,AM,pentandra,,,CEPE2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6454,almex,Celtis,AM,trinervia,,,CETR3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6457,St. John's bread,Ceratonia,AM,siliqua,,,CESI3,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6468,lady of the night cactus,Cereus,AM,hexagonus,,,CEHE3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6469,Cereus hildmannianus,Cereus,AM,hildmannianus,,,CEHI3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6474,day jessamine,Cestrum,AM,diurnum,,,CEDI6,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6475,galen del monte,Cestrum,AM,laurifolium,,,CELA2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6477,night jessamine,Cestrum,AM,nocturnum,,,CENO,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6481,jointed sandmat,Chamaesyce,AM,articulata,,,CHAR8,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6519,hueso,Chionanthus,AM,axilliflorus,,,CHAX2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6520,bridgotree,Chionanthus,AM,compactus,,,CHCO12,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6521,white rosewood,Chionanthus,AM,domingensis,,,CHDO4,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6522,hueso prieto,Chionanthus,AM,holdridgei,,,CHHO4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6523,cabra blanca,Chionanthus,AM,ligustrinus,,,CHLI6,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6526,puntaj jayuya,Chione,AM,seminervis,,,CHSE5,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6528,fatpork,Chione,AM,venosa,,,CHVE4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6529,african teak,Chlorophora,AM,excelsa,,,CHEX5,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6532,silk-floss tree,Chorisia,AM,speciosa,,,CHSP13,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6535,icaco coco plum,Chrysobalanus,AM,icaco,,,CHIC,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6539,bastard redwood,Chrysophyllum,AM,argenteum,,,CHAR6,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6541,star apple,Chrysophyllum,AM,cainito,,,CHCA10,54,54,,3,37,987,,,X,H,,,C,10.1111/nph.12221
6542,satinleaf,Chrysophyllum,AM,oliviforme,,,CHOL,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6543,camito de perro,Chrysophyllum,AM,pauciflorum,,,CHPA31,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6554,cassia,Cinnamomum,AM,aromaticum,,,CIAR8,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6559,laurel avispillo,Cinnamomum,AM,elongatum,,,CIEL2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6560,avispillo,Cinnamomum,AM,montanum,,,CIMO3,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6564,cinnamon,Cinnamomum,AM,verum,,,CIVE2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6565,juniper berry,Citharexylum,AM,caudatum,,,CICA8,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6567,spiny fiddlewood,Citharexylum,AM,spinosum,,,CISP3,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6569,threespike fiddlewood,Citharexylum,AM,tristachyum,,,CITR7,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6573,grapefruit,Citrus,AM,?aurantiifolia,,,CIAU7,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6574,Citrus ?aurantium,Citrus,AM,?aurantium,,,CIAU8,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6575,shaddock,Citrus,AM,?limon,,,CILI5,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6576,citron,Citrus,AM,?paradisi,,,CIPA3,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6577,tangerine,Citrus,AM,?sinensis,,,CISI3,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6581,Citrus maxima,Citrus,AM,maxima,,,CIMA5,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6582,Citrus medica,Citrus,AM,medica,,,CIME3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6584,Citrus reticulata,Citrus,AM,reticulata,,,CIRE3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6631,haggarbush,Clerodendrum,AM,aculeatum,,,CLAC2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6637,teta prieta,Cleyera,AM,albopunctata,,,CLAL4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6639,jackass breadnut,Clibadium,AM,erosum,,,CLER,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6641,Clidemia cymosa,Clidemia,AM,cymosa,,,CLCY5,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6642,soapbush,Clidemia,AM,hirta,,,CLHI3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6644,Philippine pigeonwings,Clitoria,AM,fairchildiana,,,CLFA5,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6646,cupeillo,Clusia,AM,clusioides,,,CLCL2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6648,Grundlach's attorney,Clusia,AM,gundlachii,,,CLGU,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6650,cupey de monte,Clusia,AM,minor,,,CLMI2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6651,Scotch attorney,Clusia,AM,rosea,,,CLRO,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6653,deepwoods fern,Cnemidaria,AM,horrida,,,CNHO,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6655,treadsoftly,Cnidoscolus,AM,aconitifolius,,,CNAC,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6658,uvilla,Coccoloba,AM,costata,,,COCO8,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6660,whitewood,Coccoloba,AM,krugii,,,COKR,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6661,puckhout,Coccoloba,AM,microstachya,,,COMI,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6662,pale seagrape,Coccoloba,AM,pallida,,,COPA24,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6663,grandleaf seagrape,Coccoloba,AM,pubescens,,,COPU,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6664,uvera,Coccoloba,AM,pyrifolia,,,COPY,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6665,ortegon,Coccoloba,AM,rugosa,,,CORU4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6666,uvero de monte,Coccoloba,AM,sintenisii,,,COSI2,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6668,Swartz's pigeonplum,Coccoloba,AM,swartzii,,,COSW,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6669,Bahama pigeonplum,Coccoloba,AM,tenuifolia,,,COTE9,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6671,false chiggergrape,Coccoloba,AM,venosa,,,COVE,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6673,Coccothrinax barbadensis,Coccothrinax,AM,barbadensis,,,COBA3,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6679,silk cottontree,Cochlospermum,AM,vitifolium,,,COVI,53,53,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6683,garden croton,Codiaeum,AM,variegatum,,,COVA3,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6684,Arabian coffee,Coffea,AM,arabica,,,COAR2,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6686,Coffea liberica,Coffea,AM,liberica,,,COLI8,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6688,Cojoba arborea,Cojoba,AM,arborea,,,COAR9,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6689,abata cola,Cola,AM,acuminata,,,COAC4,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6693,greenheart,Colubrina,AM,arborescens,,,COAR3,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6700,Urban's nakedwood,Colubrina,AM,verrucosa,,,COVE6,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6705,poison ash,Comocladia,AM,dodonaea,,,CODO,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6706,carrasco,Comocladia,AM,glabra,,,COGL4,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6710,Luquillo Mountain snailwood,Conostegia,AM,rufescens,,,CORU17,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6711,Consolea moniliformis,Consolea,AM,moniliformis,,,COMO8,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6712,Consolea rubescens,Consolea,AM,rubescens,,,CORU8,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6714,copaiba,Copaifera,AM,officinalis,,,COOF2,54,54,,3,37,980,,,X,H,,,C,10.1111/nph.12221
6728,Spanish elm,Cordia,AM,alliodora,,,COAL,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6730,muneco,Cordia,AM,borinquensis,,,COBO3,54,54,,3,37,987,,,X,H,,,C,10.1111/nph.12221
6731,red manjack,Cordia,AM,collococca,,,COCO5,54,54,,3,37,985,,,X,H,,,C,10.1111/nph.12221
6735,smooth manjack,Cordia,AM,laevigata,,,COLA12,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
6737,clammy cherry,Cordia,AM,obliqua,,,COOB3,54,54,,3,37,986,,,X,H,,,C,10.1111/nph.12221
6738,San Bartolome,Cordia,AM,rickseckeri,,,CORI,54,54,,3,37,984,,,X,H,,,C,10.1111/nph.12221
